loss,nb_trees,nb_features,test_score
gini,12.0,2.0,0.642857142857
gini,12.0,3.0,0.612554112554
gini,12.0,4.0,0.627705627706
gini,12.0,5.0,0.640692640693
gini,12.0,6.0,0.627705627706
gini,12.0,7.0,0.658008658009
gini,12.0,8.0,0.642857142857
gini,12.0,9.0,0.634199134199
gini,12.0,10.0,0.638528138528
gini,13.0,1.0,0.621212121212
gini,13.0,2.0,0.62987012987
gini,13.0,3.0,0.619047619048
gini,13.0,4.0,0.636363636364
gini,13.0,5.0,0.640692640693
gini,13.0,6.0,0.616883116883
gini,13.0,7.0,0.62987012987
gini,13.0,8.0,0.616883116883
gini,13.0,9.0,0.627705627706
gini,13.0,10.0,0.642857142857
gini,14.0,1.0,0.645021645022
gini,14.0,2.0,0.660173160173
gini,14.0,3.0,0.640692640693
gini,14.0,4.0,0.638528138528
gini,14.0,5.0,0.638528138528
gini,14.0,6.0,0.640692640693
gini,14.0,7.0,0.647186147186
gini,14.0,8.0,0.625541125541
gini,14.0,9.0,0.619047619048
gini,14.0,10.0,0.632034632035
gini,15.0,1.0,0.625541125541
gini,15.0,2.0,0.640692640693
gini,15.0,3.0,0.625541125541
gini,15.0,4.0,0.619047619048
gini,15.0,5.0,0.632034632035
gini,15.0,6.0,0.642857142857
gini,15.0,7.0,0.642857142857
gini,15.0,8.0,0.642857142857
gini,15.0,9.0,0.645021645022
gini,15.0,10.0,0.642857142857
gini,16.0,1.0,0.642857142857
gini,16.0,2.0,0.62987012987
gini,16.0,3.0,0.651515151515
gini,16.0,4.0,0.645021645022
gini,16.0,5.0,0.649350649351
gini,16.0,6.0,0.645021645022
gini,16.0,7.0,0.647186147186
gini,16.0,8.0,0.640692640693
gini,16.0,9.0,0.645021645022
gini,16.0,10.0,0.640692640693
gini,17.0,1.0,0.61038961039
gini,17.0,2.0,0.647186147186
gini,17.0,3.0,0.65367965368
gini,17.0,4.0,0.647186147186
gini,17.0,5.0,0.649350649351
gini,17.0,6.0,0.655844155844
gini,17.0,7.0,0.65367965368
gini,17.0,8.0,0.651515151515
gini,17.0,9.0,0.649350649351
gini,17.0,10.0,0.627705627706
gini,18.0,1.0,0.640692640693
gini,18.0,2.0,0.664502164502
gini,18.0,3.0,0.662337662338
gini,18.0,4.0,0.634199134199
gini,18.0,5.0,0.632034632035
gini,18.0,6.0,0.65367965368
gini,18.0,7.0,0.642857142857
gini,18.0,8.0,0.645021645022
gini,18.0,9.0,0.651515151515
gini,18.0,10.0,0.638528138528
gini,19.0,1.0,0.634199134199
gini,19.0,2.0,0.642857142857
gini,19.0,3.0,0.649350649351
gini,19.0,4.0,0.642857142857
gini,19.0,5.0,0.638528138528
gini,19.0,6.0,0.658008658009
gini,19.0,7.0,0.625541125541
gini,19.0,8.0,0.65367965368
gini,19.0,9.0,0.638528138528
gini,19.0,10.0,0.603896103896
gini,20.0,1.0,0.621212121212
gini,20.0,2.0,0.649350649351
gini,20.0,3.0,0.623376623377
gini,20.0,4.0,0.664502164502
gini,20.0,5.0,0.634199134199
gini,20.0,6.0,0.675324675325
gini,20.0,7.0,0.634199134199
gini,20.0,8.0,0.645021645022
gini,20.0,9.0,0.625541125541
gini,20.0,10.0,0.647186147186
gini,21.0,1.0,0.621212121212
gini,21.0,2.0,0.636363636364
gini,21.0,3.0,0.623376623377
gini,21.0,4.0,0.664502164502
gini,21.0,5.0,0.645021645022
gini,21.0,6.0,0.649350649351
gini,21.0,7.0,0.651515151515
gini,21.0,8.0,0.614718614719
gini,21.0,9.0,0.634199134199
gini,21.0,10.0,0.623376623377
gini,22.0,1.0,0.623376623377
gini,22.0,2.0,0.640692640693
gini,22.0,3.0,0.649350649351
gini,22.0,4.0,0.655844155844
gini,22.0,5.0,0.638528138528
gini,22.0,6.0,0.640692640693
gini,22.0,7.0,0.662337662338
gini,22.0,8.0,0.642857142857
gini,22.0,9.0,0.640692640693
gini,22.0,10.0,0.640692640693
gini,23.0,1.0,0.636363636364
gini,23.0,2.0,0.62987012987
gini,23.0,3.0,0.636363636364
gini,23.0,4.0,0.638528138528
gini,23.0,5.0,0.662337662338
gini,23.0,6.0,0.651515151515
gini,23.0,7.0,0.65367965368
gini,23.0,8.0,0.660173160173
gini,23.0,9.0,0.658008658009
gini,23.0,10.0,0.647186147186
gini,24.0,1.0,0.625541125541
gini,24.0,2.0,0.634199134199
gini,24.0,3.0,0.632034632035
gini,24.0,4.0,0.658008658009
gini,24.0,5.0,0.651515151515
gini,24.0,6.0,0.638528138528
gini,24.0,7.0,0.642857142857
gini,24.0,8.0,0.632034632035
gini,24.0,9.0,0.649350649351
gini,24.0,10.0,0.638528138528
gini,25.0,1.0,0.612554112554
gini,25.0,2.0,0.65367965368
gini,25.0,3.0,0.638528138528
gini,25.0,4.0,0.642857142857
gini,25.0,5.0,0.642857142857
gini,25.0,6.0,0.638528138528
gini,25.0,7.0,0.651515151515
gini,25.0,8.0,0.638528138528
gini,25.0,9.0,0.616883116883
gini,25.0,10.0,0.642857142857
gini,26.0,1.0,0.619047619048
gini,26.0,2.0,0.636363636364
gini,26.0,3.0,0.658008658009
gini,26.0,4.0,0.649350649351
gini,26.0,5.0,0.660173160173
gini,26.0,6.0,0.638528138528
gini,26.0,7.0,0.668831168831
gini,26.0,8.0,0.662337662338
gini,26.0,9.0,0.634199134199
gini,26.0,10.0,0.658008658009
gini,27.0,1.0,0.638528138528
gini,27.0,2.0,0.634199134199
gini,27.0,3.0,0.634199134199
gini,27.0,4.0,0.640692640693
gini,27.0,5.0,0.638528138528
gini,27.0,6.0,0.632034632035
gini,27.0,7.0,0.634199134199
gini,27.0,8.0,0.655844155844
gini,27.0,9.0,0.668831168831
gini,27.0,10.0,0.664502164502
gini,28.0,1.0,0.651515151515
gini,28.0,2.0,0.636363636364
gini,28.0,3.0,0.666666666667
gini,28.0,4.0,0.660173160173
gini,28.0,5.0,0.666666666667
gini,28.0,6.0,0.651515151515
gini,28.0,7.0,0.647186147186
gini,28.0,8.0,0.634199134199
gini,28.0,9.0,0.632034632035
gini,28.0,10.0,0.662337662338
gini,29.0,1.0,0.636363636364
gini,29.0,2.0,0.621212121212
gini,29.0,3.0,0.636363636364
gini,29.0,4.0,0.638528138528
gini,29.0,5.0,0.649350649351
gini,29.0,6.0,0.660173160173
gini,29.0,7.0,0.634199134199
gini,29.0,8.0,0.662337662338
gini,29.0,9.0,0.647186147186
gini,29.0,10.0,0.645021645022
gini,30.0,1.0,0.642857142857
gini,30.0,2.0,0.638528138528
gini,30.0,3.0,0.649350649351
gini,30.0,4.0,0.636363636364
gini,30.0,5.0,0.67316017316
gini,30.0,6.0,0.649350649351
gini,30.0,7.0,0.638528138528
gini,30.0,8.0,0.634199134199
gini,30.0,9.0,0.651515151515
gini,30.0,10.0,0.649350649351
gini,31.0,1.0,0.632034632035
gini,31.0,2.0,0.645021645022
gini,31.0,3.0,0.642857142857
gini,31.0,4.0,0.636363636364
gini,31.0,5.0,0.632034632035
gini,31.0,6.0,0.634199134199
gini,31.0,7.0,0.65367965368
gini,31.0,8.0,0.645021645022
gini,31.0,9.0,0.666666666667
gini,31.0,10.0,0.634199134199
gini,32.0,1.0,0.642857142857
gini,32.0,2.0,0.65367965368
gini,32.0,3.0,0.668831168831
gini,32.0,4.0,0.677489177489
gini,32.0,5.0,0.62987012987
gini,32.0,6.0,0.647186147186
gini,32.0,7.0,0.658008658009
gini,32.0,8.0,0.642857142857
gini,32.0,9.0,0.651515151515
gini,32.0,10.0,0.655844155844
gini,33.0,1.0,0.632034632035
gini,33.0,2.0,0.660173160173
gini,33.0,3.0,0.647186147186
gini,33.0,4.0,0.627705627706
gini,33.0,5.0,0.649350649351
gini,33.0,6.0,0.638528138528
gini,33.0,7.0,0.655844155844
gini,33.0,8.0,0.636363636364
gini,33.0,9.0,0.651515151515
gini,33.0,10.0,0.647186147186
gini,34.0,1.0,0.634199134199
gini,34.0,2.0,0.649350649351
gini,34.0,3.0,0.666666666667
gini,34.0,4.0,0.649350649351
gini,34.0,5.0,0.658008658009
gini,34.0,6.0,0.640692640693
gini,34.0,7.0,0.649350649351
gini,34.0,8.0,0.651515151515
